id,X,Y,平均日较差,年均温,年降水量,最冷季度平均气温,最冷季度（或最寒季度）总降水量,最冷月（或最寒月）最低温,最干季度平均气温,最干季度（或最干燥季度）总降水量,最干月（或最干燥月）降水量,最暖季度平均气温,最暖季度（或最热季度）总降水量,最暖月（或最热月）最高温,最湿季度平均气温,最湿季度（或最湿润季度）总降水量,最湿月（或最湿润月）降水量,气温季节性,气温年较差,等温性,降水季节性,白蛾
0,116.416334,39.928359,11.175,12.4458,569,-1.83333,14,-8.8,-1.83333,14,4,25.4167,432,31.3,25.4167,432,203,1107.99,40.1,27.8678,135.49,1
1,116.36585,39.9126,11.1917,12.4958,576,-1.71667,15,-8.7,-1.71667,15,4,25.4167,434,31.3,25.4167,434,202,1103.84,40,27.9792,133.715,1
3,116.286726,39.858538,11.5833,12.4833,577,-1.88333,9,-9.2,-1.88333,9,3,25.4667,446,31.4,25.4667,446,206,1112.51,40.6,28.5304,138.285,1
4,116.223015,39.906304,11.55,12.325,564,-1.95,10,-9.3,-1.95,10,3,25.2333,430,31.2,25.2333,430,196,1106.01,40.5,28.5185,135.214,1
5,116.2977,39.959893,11.1917,12.3625,562,-1.86667,12,-8.9,-1.86667,12,4,25.2833,422,31.2,25.2833,422,192,1104.41,40.1,27.9094,132.034,1
6,116.101668,39.940842,11.6333,12.15,568,-2.03333,11,-9.5,-2.03333,11,3,24.95,436,30.8,24.95,436,198,1097.8,40.3,28.8668,135.83,1
7,116.143426,39.748889,11.875,12.2208,583,-2.16667,10,-10,-2.16667,10,2,25.1167,462,30.9,25.1167,462,217,1110.5,40.9,29.0342,143.57,1
9,116.661474,40.149891,12.1333,11.7333,531,-2.98333,10,-11.2,-2.98333,10,3,24.8833,405,30.7,24.8833,405,195,1131.48,41.9,28.9578,137.573,1
10,116.231034,40.220952,11.8167,12,531,-2.51667,10,-10.1,-2.51667,10,3,25.1,397,31.1,25.1,397,180,1122.21,41.2,28.6812,131.082,1
11,116.341483,39.726917,11.6917,12.3042,583,-2.06667,10,-9.7,-2.06667,10,2,25.2333,461,31,25.2333,461,221,1110.59,40.7,28.7265,144.343,1
12,116.631974,40.317003,11.625,11.4292,525,-3.36667,12,-11.3,-3.36667,12,4,24.5833,393,30.3,24.5833,393,184,1134.77,41.6,27.9447,132.608,1
13,117.121589,40.140805,11.9083,11.7292,548,-3.1,13,-11.2,-3.1,13,3,25.0333,416,30.8,25.0333,416,200,1143,42,28.3532,136.439,1
14,116.843351,40.377058,12.3083,11.3958,526,-3.65,11,-11.9,-3.65,11,3,24.8,394,30.7,24.8,394,186,1155.35,42.6,28.8928,133.144,1
16,118.403073,35.088936,10.025,13.3375,803,0.466667,42,-5.8,0.466667,42,12,25.15,518,30,25.15,518,232,998.636,35.8,28.0028,103.673,1
17,117.223379,39.109679,10.2,13.4,574,-0.783333,22,-7.3,-0.783333,22,5,26.2667,426,31.5,26.2667,426,206,1100.4,38.8,26.2887,133.075,1
18,117.150638,39.138551,10.3083,13.3542,570,-0.866667,21,-7.5,1.46667,21,4,26.25,425,31.5,26.25,425,206,1103.39,39,26.4316,133.94,1
19,117.196874,39.148018,10.2917,13.4125,571,-0.85,21,-7.4,1.51667,21,4,26.3167,426,31.6,26.3167,426,207,1104.51,39,26.3889,134.167,1
20,117.151566,39.167349,10.4833,13.3167,565,-0.95,19,-7.7,1.45,19,4,26.2333,426,31.5,26.2333,426,207,1105.3,39.2,26.7432,136.436,1
21,117.313567,39.086789,10.6333,13.125,567,-1.18333,19,-8.1,-1.18333,19,4,25.9667,424,31.2,25.9667,424,204,1103.39,39.3,27.0568,134.308,1
22,117.008994,39.141811,10.8417,12.9625,537,-1.33333,16,-8.6,-1.33333,16,3,25.8,409,31,25.8,409,199,1103.37,39.6,27.3779,138.386,1
23,117.135614,39.224638,10.7083,13.0958,552,-1.2,16,-8.3,1.21667,16,3,25.9667,422,31.2,25.9667,422,207,1104.51,39.5,27.1097,139.514,1
24,117.04456,39.384108,11,12.625,558,-1.7,14,-9.1,0.733333,14,3,25.5,432,30.8,25.5,432,213,1105.21,39.9,27.5689,141.537,1
25,117.309748,39.717054,11.4833,12.05,577,-2.58333,16,-10.4,-2.58333,16,4,25.2,437,30.7,25.2,437,209,1128.5,41.1,27.94,135.785,1
26,117.69641,39.017809,10.2417,13.0458,537,-1.18333,10,-7.9,-1.18333,10,3,25.9,405,31.1,25.9,405,190,1101.64,39,26.2607,136.063,1
27,117.826674,39.329749,10.3833,12.1583,622,-2.3,22,-9.5,-2.3,22,6,25.0333,450,30,25.0333,450,207,1111.09,39.5,26.2869,127.094,1
28,116.975474,38.947772,10.8917,12.8625,528,-1.5,14,-8.9,-1.5,14,3,25.65,404,30.7,25.65,404,194,1105.39,39.6,27.5042,138.46,1
29,117.408432,40.046544,11.475,11.6208,567,-3.05,14,-10.9,-3.05,14,4,24.7,425,30.2,24.7,425,200,1125.66,41.1,27.9197,133.491,1
30,114.538955,38.03682,11.05,13.725,500,-0.266667,16,-7.2,-0.266667,16,4,26.3667,335,32.3,26.3667,335,143,1079.97,39.5,27.9747,115.843,1
31,114.868604,40.819553,11.65,8.65,375,-6.78333,11,-13.9,-6.78333,11,3,22.55,235,29,22.55,235,98,1195.74,42.9,27.1562,100.138,1
32,113.293977,33.737251,10.2417,15.6375,786,3.65,47,-2.6,3.65,47,13,26.8833,392,32,25.3667,395,173,933.186,34.6,29.6002,74.0654,1
33,114.531599,38.007002,11.15,13.6583,505,-0.3,16,-7.3,-0.3,16,4,26.2667,337,32.2,26.2667,337,145,1076.1,39.5,28.2278,114.877,1
34,114.846562,38.022177,11.4333,13.3833,457,-0.7,14,-8.2,-0.7,14,4,26.1833,323,32.2,26.1833,323,143,1089.46,40.4,28.3003,121.496,1
35,114.313559,38.086536,11.5333,13.25,519,-0.616667,17,-8,-0.616667,17,4,25.65,336,31.7,24.05,339,143,1063.91,39.7,29.0512,111.46,1
