sd_station,X,Y,等温性,降水季节性,年降水量,年均温_,平均日较差,温度季节性,温度年较差,最干季度降水量,最干季度平均温度,最干月降水量,最冷季度降水量,最冷季度平均温度,最冷月最低温,最热季度降水量,最热季度平均温度,最热月最高温,最湿季度降水量,最湿季度平均温度,sd_dem,sd_podu,sd_poxiang,evi_Band_1,lai_Band_1,lst_Band_1,ndvi_Band_,pet_Band_1,BYQ_baie
0,116.0667,37.2333,26.8817,123.455,524,13.075,10.8333,1121.88,40.3,16,-1.43333,5,16,-1.43333,-8.5,368,26.2833,31.8,368,26.2833,53,8.77569,113.199,2901.35,8.86957,14035.6,4905.17,299.522,1
1,116.8167,37.2,26.047,123.718,551,13.3208,10.1583,1097.73,39,15,-0.866667,4,15,-0.866667,-7.5,391,26.25,31.5,391,26.25,15,4.00325,259.992,2364.78,6.73913,14446.4,3525.09,268.913,1
2,116.3333,37.45,25.7956,124.985,544,13.4583,10.2667,1125.08,39.8,16,-1,5,16,-1,-7.7,385,26.75,32.1,385,26.75,26,4.55397,194.744,2274.91,0,14402.2,3955.48,0,1
3,116.5167,37.3167,25.8482,125.032,531,13.1458,10.1583,1109.46,39.3,14,-1.13333,4,14,-1.13333,-7.9,378,26.2667,31.4,378,26.2667,8,1.39341,90,2676.26,6.6087,14332.8,4131.22,277.261,1
4,116.8,37.6667,27.031,128.707,489,13.1542,10.7583,1113.28,39.8,13,-1.23333,4,13,-1.23333,-8.3,357,26.2167,31.5,357,26.2167,16,1.31374,45,2950.78,7.86957,14074.3,4151.04,236.478,1
5,116.4667,37.15,26.1662,123.134,554,13.1417,10.2833,1102.78,39.3,14,-1.06667,4,14,-1.06667,-7.9,389,26.2,31.4,389,26.2,11,7.05533,31.6075,1851.17,7.6087,14416.2,3082.57,215.652,1
6,117.6333,37.75,27.7637,124.187,570,13.2833,10.9667,1096.4,39.5,18,-1,5,18,-1,-8,401,26.1,31.5,401,26.1,4,0.734494,161.565,1926.26,4.04348,14356.2,3177.39,216.348,1
7,117.5667,37.65,27.6015,123.278,578,13.2458,10.875,1093.58,39.4,18,-0.983333,5,18,-0.983333,-7.9,404,26.05,31.5,404,26.05,9,1.76843,246.801,2121.78,5.21739,14713,3445.26,230.565,1
8,117.1333,37.3167,26.8024,124.327,553,13.2083,10.5333,1096.59,39.3,13,-1,3,13,-1,-7.9,392,26.0833,31.4,392,26.0833,18,2.64652,307.875,3377.48,10.087,14384.6,4850.78,273.826,1
9,117.5333,37.5,27.8765,122.376,580,13.3417,10.9833,1094.06,39.4,16,-0.916667,4,16,-0.916667,-7.8,403,26.1333,31.6,403,26.1333,12,0.734494,198.435,2471.43,8.86957,14684.1,3850.3,259,1
10,117.1833,37.7,27.1362,128.506,520,13.1042,10.6917,1096.35,39.4,13,-1.1,3,13,-1.1,-8.1,377,25.9833,31.3,377,25.9833,16,5.79184,177.709,2494.96,6.69565,14045.1,3786.09,252.652,1
11,117.55,36.6833,27.5087,115.238,689,13.3125,10.5083,1063.71,38.2,21,-0.55,6,21,-0.55,-7.2,457,25.7667,31,457,25.7667,140,1.03867,153.435,2182.3,4.82609,14439.3,3608.91,271.304,1
12,117.35,37.7667,27.384,126.52,546,13.2,10.8167,1099.16,39.5,15,-1.06667,4,15,-1.06667,-8,391,26.1,31.5,391,26.1,10,1.39341,180,2990.7,8.6087,14694.5,4830.74,231.348,1
13,117.8667,37.1667,28.3588,117.776,606,13.5833,11.1167,1079.47,39.2,19,-0.583333,5,19,-0.583333,-7.8,409,26.1833,31.4,409,26.1833,1,1.46875,198.435,2534.74,6.78261,14421.7,3891.39,206.913,1
14,118.1333,37.7,27.3504,120.164,597,13.375,10.6667,1092.79,39,21,-0.866667,6,21,-0.866667,-7.6,410,26.1667,31.4,410,26.1667,12,1.64202,171.87,1963.17,4.56522,14396.7,3255.87,228.652,1
15,118.2167,37.4833,27.2179,116.357,598,13.45,10.5333,1087.43,38.7,22,-0.733333,6,22,-0.733333,-7.4,399,26.1667,31.3,399,26.1667,10,1.18423,168.69,1670.3,0,14375.9,2737.91,0,1
16,118.5167,37.8667,26.1314,121.029,602,13.2958,10.0083,1090.14,38.3,18,-0.866667,5,18,-0.866667,-7.2,414,26.05,31.1,414,26.05,13,10.3264,20.8545,1218.83,2.43478,14707.2,1966.83,229.087,1
17,118,37.35,27.3902,115.79,593,13.6667,10.6,1084.26,38.7,22,-0.483333,6,22,-0.483333,-7.1,396,26.35,31.6,396,26.35,11,0.656959,225,1801.65,3.69565,14656.2,2953.61,211.043,1
18,118.6667,37.4333,26.0936,115.151,632,13.6958,9.94167,1082.31,38.1,23,-0.366667,7,23,-0.366667,-6.6,418,26.3667,31.5,418,26.3667,9,7.40595,3.57633,2028.52,0,14104.7,3265.26,0,1
19,118.15,37.15,28.0691,115.582,621,13.6458,10.975,1073.81,39.1,22,-0.4,6,22,-0.4,-7.6,413,26.2333,31.5,413,26.2333,5,5.2514,221.424,1848.13,0,14453.3,3036.83,0,1
20,118.4,37.05,28.1969,115.489,647,13.7042,11.025,1075.42,39.1,24,-0.35,7,24,-0.35,-7.5,427,26.3167,31.6,427,26.3167,19,5.97272,35.5377,1485.65,0,14096.4,2661.22,0,1
21,118.55,37.5833,26.1998,115.613,620,13.4875,10.0083,1085.2,38.2,24,-0.65,7,24,-0.65,-7,412,26.1667,31.2,412,26.1667,9,2.10244,6.34019,1407.7,3.34783,14683.9,2350.39,225,1
22,119.95,37.1833,25.8796,103.924,670,12.6917,9.31667,1017.73,36,30,-0.383333,10,30,-0.383333,-6.2,420,24.7,29.8,420,24.7,66,9.95398,173.367,1288.87,0,14448.1,2272.7,0,1
23,120.7333,37.9333,21.875,105.733,501,11.6875,7.175,982.754,32.8,18,-0.85,5,18,-0.85,-5.3,319,23.0833,27.5,319,23.0833,24,5.17979,280.305,1851.26,0,14542.6,3373.35,0,1
24,120.7667,37.8,23.57,102.879,572,12.2417,7.96667,1002.1,33.8,28,-0.583333,7,28,-0.583333,-5.4,353,23.9,28.4,356,23.6833,44,3.54866,348.69,1029.52,0,14689.1,1729.43,0,1
25,120.3333,37.6333,25.2101,103.901,603,12.325,9,1015.36,35.7,26,-0.633333,8,26,-0.633333,-6.2,377,24.35,29.5,377,24.35,8,4.91531,351.87,1216.74,0,14669.1,2266.3,0,1
26,120.3833,37.3333,25.5194,102.512,658,11.9542,9.00833,1005.47,35.3,29,-0.966667,9,29,-0.966667,-6.6,408,23.7667,28.7,408,23.7667,113,7.04032,23.1986,2792.65,9.91304,14672.7,4321.39,275.043,1
27,120.85,37.3167,23.9367,101.386,671,11.4583,8.06667,985.859,33.7,31,-1.21667,9,31,-1.21667,-6.4,409,22.9167,27.3,414,22.6667,161,4.69279,147.095,3171.65,10.2609,14614.3,4887.65,295.739,1
28,121.2333,37.4833,23.3831,97.3617,678,12.1333,7.83333,982.53,33.5,37,-0.483333,10,37,-0.483333,-5.5,401,23.5,28,413,23.3833,42,4.77188,60.9454,1147.17,3.91304,14118,1935.7,198.696,1
29,121.4333,37.4833,21.6511,96.0572,693,11.9,6.95,955.358,32.1,40,0.883333,11,41,-0.216667,-4.7,419,23.05,27.4,419,23.05,91,8.61323,105.524,2658.17,8.52174,13951.6,4645.17,261.609,1
30,121.5833,37.4333,21.2848,95.051,684,12.1292,6.875,957.875,32.3,39,1.11667,11,40,0.0166667,-4.7,412,23.35,27.6,412,23.35,7,0.929039,0,1831.39,3.69565,14582.6,3190.83,255.174,1
31,122.1333,37.4667,19.3452,95.3162,704,12.0708,5.95833,916.896,30.8,39,1.46667,10,40,0.633333,-3.7,424,23,27.1,424,23,10,2.64652,285.255,918.304,0,0,1955.39,0,1
32,122.7,37.4,18.0507,94.3635,733,11.6667,5.21667,875.192,28.9,40,1.01667,10,40,1.01667,-2.8,438,22.3833,26.1,438,22.3833,0,0,-1,-381.217,0,0,-113.043,0,1
33,122.0667,37.2,21.1558,93.2025,730,11.6833,6.83333,941.409,32.3,44,0.983333,11,44,-0.0833333,-5.2,433,22.8167,27.1,433,22.8167,97,8.80543,186.009,1918.35,0,14056.9,3169.48,0,1
34,122.4833,37.1667,20.8199,92.265,731,11.8042,6.475,904.148,31.1,45,1.53333,11,46,0.683333,-4.4,432,22.65,26.7,432,22.65,37,7.62346,324.866,2239,4.56522,13685,3646.04,218.783,1
35,115.7333,36.8167,27.5625,121.853,503,13.2042,11.025,1109.88,40,24,-1.16667,6,24,-1.16667,-8,350,26.35,32,350,26.35,36,7.94797,334.179,2846.57,6.13043,13508.6,3835.91,292.739,1
36,116.0167,36.9833,27.1875,119.496,537,13.2625,10.875,1111.4,40,21,-1.16667,6,21,-1.16667,-8.1,369,26.3167,31.9,369,26.3167,29,3.34618,123.69,1091.35,2.78261,13215.1,1938.17,230.957,1
37,115.4667,36.45,28.3801,109.748,525,13.2875,11.125,1070.76,39.2,25,-0.583333,7,25,-0.583333,-7.5,342,26,31.7,342,26,37,8.894,216.573,3779.43,12.6522,13206.2,5279,254.391,1
38,115.9667,36.4167,27.4433,111.321,577,13.5083,10.4833,1061.79,38.2,23,-0.166667,7,23,-0.166667,-6.7,377,26.15,31.5,377,26.15,46,5.59545,245.556,2689.04,6.73913,14084.3,4295.04,242.087,1
39,115.7667,36.15,28.6867,106.811,572,13.5958,10.9583,1040.26,38.2,23,0.183333,7,23,0.183333,-6.6,361,25.9667,31.6,361,25.9667,61,3.1133,116.565,3785.3,11.7391,12880.5,5508.26,235.87,1
40,115.6333,36.2333,28.6989,107.811,555,13.6708,10.9917,1045.86,38.3,24,0.183333,7,24,0.183333,-6.6,353,26.1167,31.7,353,26.1167,47,6.99511,172.405,2658.91,6.82609,11948,4114.17,239.696,1
41,116.2667,36.8667,26.8282,119.648,567,13.2167,10.5167,1094.28,39.2,18,-0.933333,6,18,-0.933333,-7.8,388,26.15,31.4,388,26.15,28,6.87303,132.274,3186.22,9.82609,14440.7,4852.48,279.696,1
42,116.6167,36.9333,25.5875,120.057,603,13.325,9.8,1084.25,38.3,17,-0.683333,5,17,-0.683333,-7.1,414,26.1667,31.2,414,26.1667,22,2.36745,11.3099,2566.78,7.47826,14737.7,4279.48,251.217,1
43,116.7167,36.7333,25.5921,117.59,639,13.2625,9.725,1071.11,38,17,-0.6,4,17,-0.6,-7.1,432,25.9167,30.9,432,25.9167,29,7.40595,93.5763,4213.09,13.4348,13801.6,5828.83,327.609,1
44,116.25,36.5333,27.1373,114.879,599,13.2125,10.475,1071.2,38.6,19,-0.583333,6,19,-0.583333,-7.4,400,25.9667,31.2,400,25.9667,34,22.6955,196.327,4329.57,11.4783,14071.7,5986.39,259.478,1
45,116.2667,36.3833,27.4651,112.962,609,13.4125,10.4917,1060.84,38.2,20,-0.283333,6,20,-0.283333,-7,402,26,31.2,402,26,30,2.82352,170.538,3779.35,9.26087,14415.6,5208.74,292.522,1
46,116.8,36.5167,25.6739,114.41,681,13.4625,9.525,1053.57,37.1,19,-0.233333,5,19,-0.233333,-6.4,450,25.8333,30.7,450,25.8333,51,4.27508,347.471,1475,4.17391,14044.8,2688.83,236,1
