adcode,name,center,centroid,longitude,latitude
370102,历下区,"[117.03862, 36.664169]","[117.097207, 36.65519]",117.03862,36.664169
370103,市中区,"[116.99898, 36.657354]","[116.971622, 36.57841]",116.99898,36.657354
370104,槐荫区,"[116.947921, 36.668205]","[116.885114, 36.678414]",116.947921,36.668205
370105,天桥区,"[116.996086, 36.693374]","[116.978893, 36.772343]",116.996086,36.693374
370112,历城区,"[117.063744, 36.681744]","[117.184517, 36.606298]",117.063744,36.681744
370113,长清区,"[116.74588, 36.561049]","[116.796232, 36.421327]",116.74588,36.561049
370114,章丘区,"[117.54069, 36.71209]","[117.473408, 36.737524]",117.54069,36.71209
370115,济阳区,"[117.176035, 36.976771]","[117.145463, 37.026132]",117.176035,36.976771
370116,莱芜区,"[117.675808, 36.214395]","[117.617686, 36.314311]",117.675808,36.214395
370117,钢城区,"[117.82033, 36.058038]","[117.835828, 36.130853]",117.82033,36.058038
370124,平阴县,"[116.455054, 36.286923]","[116.415506, 36.195741]",116.455054,36.286923
370126,商河县,"[117.156369, 37.310544]","[117.203044, 37.319399]",117.156369,37.310544
370202,市南区,"[120.395966, 36.070892]","[120.364533, 36.065674]",120.395966,36.070892
370203,市北区,"[120.355026, 36.083819]","[120.366891, 36.111867]",120.355026,36.083819
370211,黄岛区,"[119.995518, 35.875138]","[119.883281, 35.859051]",119.995518,35.875138
370212,崂山区,"[120.467393, 36.102569]","[120.580013, 36.189115]",120.467393,36.102569
370213,李沧区,"[120.421236, 36.160023]","[120.421969, 36.185575]",120.421236,36.160023
370214,城阳区,"[120.389135, 36.306833]","[120.32982, 36.274819]",120.389135,36.306833
370215,即墨区,"[120.447352, 36.390847]","[120.524774, 36.482445]",120.447352,36.390847
370281,胶州市,"[120.006202, 36.285878]","[119.953343, 36.24043]",120.006202,36.285878
370283,平度市,"[119.959012, 36.788828]","[119.944487, 36.782164]",119.959012,36.788828
370285,莱西市,"[120.526226, 36.86509]","[120.435764, 36.858461]",120.526226,36.86509
370302,淄川区,"[117.967696, 36.647272]","[118.02174, 36.576143]",117.967696,36.647272
370303,张店区,"[118.053521, 36.807049]","[118.069129, 36.813655]",118.053521,36.807049
370304,博山区,"[117.85823, 36.497567]","[117.95822, 36.419783]",117.85823,36.497567
370305,临淄区,"[118.306018, 36.816657]","[118.292042, 36.847534]",118.306018,36.816657
370306,周村区,"[117.851036, 36.803699]","[117.863619, 36.75131]",117.851036,36.803699
370321,桓台县,"[118.101556, 36.959773]","[118.026774, 36.992528]",118.101556,36.959773
370322,高青县,"[117.829839, 37.169581]","[117.819065, 37.164952]",117.829839,37.169581
370323,沂源县,"[118.166161, 36.186282]","[118.197453, 36.129337]",118.166161,36.186282
370402,市中区,"[117.557281, 34.856651]","[117.599075, 34.864542]",117.557281,34.856651
