物种名称,发生样点经度,发生样点纬度,原始行政区名称
美国白蛾,116.416334,39.928359,东城区
美国白蛾,116.36585,39.9126,西城区
美国白蛾,125.288168,43.833845,朝阳区
美国白蛾,116.286726,39.858538,丰台区
美国白蛾,116.223015,39.906304,石景山区
美国白蛾,116.2977,39.959893,海淀区
美国白蛾,116.101668,39.940842,门头沟区
美国白蛾,116.143426,39.748889,房山区
美国白蛾,121.073742,32.065972,通州区
美国白蛾,116.661474,40.149891,顺义区
美国白蛾,116.231034,40.220952,昌平区
美国白蛾,116.631974,40.317003,怀柔区
美国白蛾,117.121589,40.140805,平谷区
美国白蛾,123.420401,41.789766,和平区
美国白蛾,118.403073,35.088936,河东区
美国白蛾,117.223379,39.109679,河西区
美国白蛾,117.150638,39.138551,南开区
美国白蛾,117.196874,39.148018,河北区
美国白蛾,117.151566,39.167349,红桥区
美国白蛾,117.313567,39.086789,东丽区
美国白蛾,117.008994,39.141811,西青区
美国白蛾,117.356683,38.936971,津南区
美国白蛾,117.135614,39.224638,北辰区
美国白蛾,117.04456,39.384108,武清区
美国白蛾,117.309748,39.717054,宝坻区
美国白蛾,117.69641,39.017809,滨海新区
美国白蛾,117.826674,39.329749,宁河区
美国白蛾,116.975474,38.947772,静海区
美国白蛾,117.408432,40.046544,蓟州区
美国白蛾,114.538955,38.03682,石家庄市长安区
美国白蛾,114.868604,40.819553,桥西区
美国白蛾,113.293977,33.737251,新华区
美国白蛾,114.531599,38.007002,裕华区
美国白蛾,114.846562,38.022177,藁城区
美国白蛾,114.313559,38.086536,鹿泉区
美国白蛾,114.145669,38.032366,井陉县
美国白蛾,114.57043,38.14699,正定县
美国白蛾,114.553044,38.437535,行唐县
美国白蛾,114.383013,38.307908,灵寿县
美国白蛾,114.611659,37.615905,高邑县
美国白蛾,115.20089,38.184572,深泽县
美国白蛾,114.976256,38.178852,无极县
美国白蛾,114.186007,38.260288,平山县
美国白蛾,114.683745,38.343952,新乐市
美国白蛾,118.154348,39.624988,唐山市路南区
美国白蛾,118.201085,39.625079,路北区
美国白蛾,118.447134,39.73392,古冶区
美国白蛾,118.262246,39.671634,开平区
美国白蛾,118.085169,39.576031,丰南区
美国白蛾,118.162426,39.832919,丰润区
美国白蛾,118.460197,39.273528,曹妃甸区
美国白蛾,118.68363,39.520272,滦南县
美国白蛾,118.91245,39.425748,乐亭县
美国白蛾,118.31467,40.141486,迁西县
美国白蛾,117.738196,39.901827,玉田县
美国白蛾,118.70301,39.740963,滦州市
美国白蛾,117.965878,40.189119,遵化市
美国白蛾,118.701021,39.998861,迁安市
美国白蛾,119.564962,39.94756,秦皇岛市海港区
美国白蛾,119.775187,39.978882,山海关区
美国白蛾,119.48449,39.834912,北戴河区
美国白蛾,119.244847,39.876253,抚宁区
美国白蛾,118.94985,40.407473,青龙县
