feature,importance_classification_RandomForest,importance_classification_GradientBoosting,importance_regression_RandomForest
Humidity_max,0.02837520208043041,0.008639346536954088,0.026117235627920645
Humidity_mean,0.03328122768130002,0.045982453116368116,0.03100384471994535
Humidity_median,0.031289777837925775,0.014568901745746128,0.028712264730049016
Humidity_min,0.036464865691661234,0.03176210881484348,0.03884518973100274
Humidity_std,0.04120313418843137,0.06282327551535222,0.03916066617658681
Latitude,0.03236897146554036,0.057438699398784945,0.03584696741080731
Longitude,0.04744132141296469,0.05169057287523501,0.054415859741583666
Pressure_max,0.036648670633403525,0.04768064768075733,0.04600836119694939
Pressure_mean,0.02906829586907352,0.037560842866121325,0.028767291338449845
Pressure_median,0.02841270736221501,0.016171360130227876,0.025235776896812428
Pressure_min,0.0336363004016668,0.028515564563688475,0.037012469099279605
Pressure_std,0.042675471630024234,0.033007894003452144,0.04616967660040398
Rainfall_max,0.03651360235176396,0.028647748305090804,0.03589187479769782
Rainfall_mean,0.042720148039371755,0.0480052644770523,0.04722872074164369
Rainfall_median,0.03551692584441841,0.0472756701912869,0.04046022131830806
Rainfall_min,0.038097877988086455,0.04270965245050263,0.03966798653536932
Rainfall_std,0.04188208777225313,0.03884804173217501,0.0359202880928485
Temp_Humidity_Index_max,0.0362542681371552,0.04618049858440657,0.037698370151101696
Temp_Humidity_Index_mean,0.03688691246203358,0.04942090858745509,0.030584257588979993
Temp_Humidity_Index_median,0.03538877746167849,0.013077253745879827,0.027415979164690376
Temp_Humidity_Index_min,0.03866125800974308,0.04062992445854949,0.03352454622407323
Temp_Humidity_Index_std,0.06061106870457334,0.07478523622943804,0.07149727514759836
Temperature_max,0.034694222050240156,0.01739189098703678,0.0356404821694264
Temperature_mean,0.029011978882760737,0.03811842429611791,0.02156066616546898
Temperature_median,0.032670563130727345,0.015499156923314144,0.02528241127251528
Temperature_min,0.039385107229160915,0.03288763054565721,0.03910824527624143
Temperature_std,0.04083925568139674,0.030681031238506257,0.04122307208424605
