epoch,train_loss,train_auc,val_loss,val_auc,learning_rate,time_elapsed,Model
1,2.292778858422729,0.4910633137905865,2.2719146373660064,0.8837250712250713,0.0002,1.2852678298950195,SF-BiLSTM
2,2.227898539078748,0.5269430905794543,1.989391151324723,0.8778490028490029,0.0002,1.7147765159606934,SF-BiLSTM
3,1.989347162676832,0.7307880671517036,1.779395724451819,0.917218660968661,0.0002,2.090559720993042,SF-BiLSTM
4,1.6095826546855172,0.8430293612111794,1.611504077911377,0.8856481481481482,0.0002,2.484307050704956,SF-BiLSTM
5,1.4873545863747681,0.8638906547997456,1.4975536516470502,0.9117343304843305,0.0002,2.8687713146209717,SF-BiLSTM
6,1.4176042969584717,0.8829978102705375,1.4267828288928484,0.9303952991452992,0.0002,3.2689895629882812,SF-BiLSTM
7,1.2889065170388898,0.9028749028749028,1.3589485375456107,0.9414707977207978,0.0002,3.7024729251861572,SF-BiLSTM
8,1.3562036570400482,0.9017058698876881,1.429940565611965,0.944212962962963,0.0002,4.12299370765686,SF-BiLSTM
9,1.3688330370578403,0.9152904334722516,1.3171561651451642,0.9460648148148147,0.0002,4.524442911148071,SF-BiLSTM
10,1.2722711230433263,0.9185091003272823,1.3404767901398416,0.9446937321937321,0.0002,4.934319257736206,SF-BiLSTM
11,1.2457716617893384,0.9294177203268112,1.2688201776770658,0.9518340455840456,0.0002,5.337815046310425,SF-BiLSTM
12,1.250652752097347,0.9249723340632431,1.2093644474827967,0.9505698005698007,0.0002,5.758239030838013,SF-BiLSTM
13,1.1055457208927792,0.9356690447599538,1.115608430648035,0.9545405982905983,0.0002,6.151214838027954,SF-BiLSTM
14,1.0631301550902137,0.9379600197782016,1.0799063906189084,0.9571403133903136,0.0002,6.568747043609619,SF-BiLSTM
15,1.0210161398967612,0.940646558828377,1.0307692354039628,0.9561609686609687,0.0002,6.99668025970459,SF-BiLSTM
16,0.9122007340087783,0.9444350262532081,1.0173960397409838,0.9640313390313391,0.0002,7.427802562713623,SF-BiLSTM
17,0.995989493369384,0.9521532339714158,0.9116477106892785,0.968411680911681,0.0002,7.862793922424316,SF-BiLSTM
18,0.871138772215114,0.9488286124649761,0.9013435914534931,0.9739672364672365,0.0002,8.303019046783447,SF-BiLSTM
19,0.9227145030685006,0.9577288031833486,0.8582740606263627,0.9737891737891738,0.0002,8.805577993392944,SF-BiLSTM
20,0.8624545386175273,0.9589413953050316,0.8771011284155439,0.9743767806267807,0.0002,9.223604202270508,SF-BiLSTM
21,0.8731020026176727,0.9612794612794613,0.9888361045556475,0.9727920227920228,0.0002,9.658832311630249,SF-BiLSTM
22,0.8869074232734535,0.9608320971957335,0.8867563323457112,0.9704059829059829,0.0002,10.086258888244629,SF-BiLSTM
23,0.8813189487376626,0.9655953474135293,0.8991089347721071,0.9752670940170941,0.0002,10.510117053985596,SF-BiLSTM
24,0.9057527173565172,0.9661109933837206,0.8998262521832489,0.9764066951566952,0.0001,10.94761323928833,SF-BiLSTM
25,0.9028744789561056,0.9679310588401497,0.8633537200070167,0.9770833333333333,0.0001,11.38701868057251,SF-BiLSTM
26,0.8599726658542867,0.9705657978385251,0.9086405408474826,0.9775641025641026,0.0001,11.82889199256897,SF-BiLSTM
27,0.8664036587647269,0.9710131619222528,0.9399475626243178,0.975462962962963,0.0001,12.29941701889038,SF-BiLSTM
28,0.8588040693281737,0.9743354288808834,0.9527853644171427,0.9768162393162393,0.0001,12.742408514022827,SF-BiLSTM
29,0.8883544180576359,0.9742129923948106,0.9214756802995075,0.9770655270655271,5e-05,13.195877313613892,SF-BiLSTM
30,0.8888740311045308,0.9743330743330744,0.9461518415184909,0.9773860398860399,5e-05,13.6459321975708,SF-BiLSTM
31,0.8943872154389073,0.9726425090061452,0.9380491371302642,0.9773148148148147,5e-05,14.09334135055542,SF-BiLSTM
32,0.8893812036245452,0.9713192531374351,0.9032005783199339,0.9783653846153846,5e-05,14.542984962463379,SF-BiLSTM
33,0.8848937607886843,0.9733064914883096,0.9147475107695705,0.9785078347578348,5e-05,15.017122030258179,SF-BiLSTM
34,0.8729613800549524,0.9720703538885356,0.9041092654531316,0.9784722222222223,2.5e-05,15.522789716720581,SF-BiLSTM
35,0.8661365725777366,0.9730427821336912,0.9156304681023886,0.9784188034188034,2.5e-05,15.989919900894165,SF-BiLSTM
36,0.8591939229793831,0.9769960679051589,0.9145223697026571,0.9785790598290598,2.5e-05,16.461071491241455,SF-BiLSTM
37,0.8695946176594794,0.974300110663747,0.9140584154646526,0.9787571225071224,2.5e-05,16.948097944259644,SF-BiLSTM
38,0.8868817382500658,0.9754302936121119,0.9267505887866945,0.9790242165242165,2.5e-05,17.422158002853394,SF-BiLSTM
39,0.8695307539078952,0.9750158931977113,0.9204783180887385,0.9788461538461538,1.25e-05,17.89707088470459,SF-BiLSTM
40,0.8736762729138031,0.9749758658849568,0.9229254796523456,0.9790064102564102,1.25e-05,18.356689929962158,SF-BiLSTM
41,0.8821199446853574,0.9732311459584186,0.9127864578897639,0.9792735042735042,1.25e-05,18.798553466796875,SF-BiLSTM
42,0.8747361096552848,0.976066021520567,0.9113687683445538,0.9791310541310541,1.25e-05,19.271036386489868,SF-BiLSTM
43,0.8626690916480776,0.978133314496951,0.9266349668650664,0.9791488603988604,1.25e-05,19.73454785346985,SF-BiLSTM
44,0.8932911338228168,0.9749782204327658,0.9222062779951465,0.9791488603988604,6.25e-06,20.18453335762024,SF-BiLSTM
45,0.9005125896287183,0.9750064750064749,0.928628077802732,0.9791310541310542,6.25e-06,20.63289999961853,SF-BiLSTM
46,0.8771570115294399,0.977758941395305,0.9287384249443231,0.9790242165242165,6.25e-06,21.09543490409851,SF-BiLSTM
47,0.8922786823538846,0.9758211485484214,0.9300250988598018,0.9790420227920228,6.25e-06,21.54187846183777,SF-BiLSTM
48,0.8773724196073117,0.9738268465541192,0.9229031634885211,0.9791488603988604,6.25e-06,21.991328716278076,SF-BiLSTM
49,0.8786895583850385,0.9787101787101786,0.9226415933564652,0.979255698005698,3.125e-06,22.423737049102783,SF-BiLSTM
50,0.8799831756325656,0.9752278025005299,0.9225634585979373,0.9792022792022792,3.125e-06,22.866135597229004,SF-BiLSTM
51,0.8754813391360874,0.9739587012314285,0.9221618277157924,0.9792200854700855,3.125e-06,23.329699277877808,SF-BiLSTM
52,0.8760244378411829,0.9733865461138188,0.9265072530554247,0.9791666666666667,3.125e-06,23.784542560577393,SF-BiLSTM
53,0.8675568244926017,0.9780273598455417,0.926421981449275,0.979184472934473,3.125e-06,24.235010862350464,SF-BiLSTM
54,0.8914962895240811,0.9771608862517953,0.9319731477619142,0.9792556980056981,1.5625e-06,24.68534517288208,SF-BiLSTM
55,0.8766989805397641,0.9776553412917048,0.9338085522023283,0.9792200854700854,1.5625e-06,25.138816595077515,SF-BiLSTM
56,0.8879302267124318,0.9751689388053024,0.9301257253617279,0.9792022792022792,1.5625e-06,25.589343070983887,SF-BiLSTM
57,0.8732528295039794,0.9795060158696524,0.9301909346913182,0.9792735042735043,1.5625e-06,26.044266939163208,SF-BiLSTM
58,0.873575723448465,0.9761131124767488,0.9314375321070353,0.9792735042735043,1.5625e-06,26.52124047279358,SF-BiLSTM
59,0.8642015013583871,0.9791175154811519,0.9343666771585627,0.9792735042735043,1e-06,26.983604192733765,SF-BiLSTM
60,0.8830329582168654,0.978665442301806,0.9371344497961591,0.9792735042735043,1e-06,27.447126388549805,SF-BiLSTM
61,0.8745857053780909,0.9761295943114124,0.9358357246531996,0.979255698005698,1e-06,27.89748740196228,SF-BiLSTM
62,0.8788564074955161,0.9733041369405004,0.9334367661513099,0.9792200854700854,1e-06,28.384514093399048,SF-BiLSTM
63,0.8687012329162049,0.9738927738927738,0.9372792105342067,0.979255698005698,1e-06,28.846487283706665,SF-BiLSTM
64,0.8839745336724806,0.9747333474606202,0.9371608902317609,0.979255698005698,1e-06,29.315557956695557,SF-BiLSTM
65,0.8796138361442921,0.9764498128134492,0.9371232921762984,0.9792378917378917,1e-06,29.78647255897522,SF-BiLSTM
66,0.871629399258625,0.9759294577476396,0.9371268998744876,0.979255698005698,1e-06,30.245889902114868,SF-BiLSTM
67,0.8754805725506278,0.976471003743731,0.9384544662726942,0.9792735042735043,1e-06,30.72687864303589,SF-BiLSTM
68,0.8935231857521589,0.9774104683195592,0.937926589056503,0.9792913105413106,1e-06,31.2117977142334,SF-BiLSTM
69,0.8709077566673086,0.9783051964870146,0.9365369173907494,0.9793091168091168,1e-06,31.6991126537323,SF-BiLSTM
70,0.8684109419143226,0.9801346801346801,0.9380111075186914,0.9792913105413106,1e-06,32.200688123703,SF-BiLSTM
71,0.8818049584584307,0.9769654587836405,0.93676094676173,0.9792378917378918,1e-06,32.68215870857239,SF-BiLSTM
72,0.8895218758788052,0.973367709731346,0.938053892564404,0.979255698005698,1e-06,33.16365694999695,SF-BiLSTM
73,0.8732208335290416,0.9755856937675119,0.9367662141489428,0.9792378917378917,1e-06,33.64328908920288,SF-BiLSTM
74,0.8734832369919979,0.9778907960726142,0.9368268048116403,0.9792022792022792,1e-06,34.10590934753418,SF-BiLSTM
75,0.8950807080460401,0.9758917849826941,0.938253923904064,0.9791488603988604,1e-06,34.56240773200989,SF-BiLSTM
76,0.8763257378923632,0.978236914600551,0.9369027845619261,0.979184472934473,1e-06,35.028531074523926,SF-BiLSTM
77,0.8722388134446255,0.977961432506887,0.9412798881530762,0.9791666666666666,1e-06,35.478471994400024,SF-BiLSTM
78,0.8718845778321447,0.9781262508535234,0.9381957183512606,0.9791310541310542,1e-06,35.931071281433105,SF-BiLSTM
79,0.893537556142182,0.9741965105601469,0.937685397244239,0.9791310541310542,1e-06,36.38922619819641,SF-BiLSTM
80,0.8863040071041169,0.975764639401003,0.9381095309590184,0.9791666666666667,1e-06,36.84672713279724,SF-BiLSTM
81,0.8962651389933876,0.9751783569965388,0.9376218263493028,0.9791666666666667,1e-06,37.304656982421875,SF-BiLSTM
82,0.8765304725383519,0.9777165595347413,0.9381093941917715,0.9791666666666667,1e-06,37.74764609336853,SF-BiLSTM
83,0.882060581903545,0.9787431423795061,0.9402825629064279,0.9790954415954416,1e-06,38.20057153701782,SF-BiLSTM
84,0.876304590424826,0.9773257045984319,0.9406273475913114,0.9791310541310542,1e-06,38.651043176651,SF-BiLSTM
85,0.8861524081717418,0.9759553577735396,0.9392610233883525,0.9791310541310542,1e-06,39.11100959777832,SF-BiLSTM
86,0.8701456957421225,0.975359657177839,0.9405987207279649,0.9791132478632478,1e-06,39.561975955963135,SF-BiLSTM
87,0.8865242750397696,0.9753219844128935,0.9376011523165444,0.9791666666666666,1e-06,40.01814150810242,SF-BiLSTM
88,0.8863304711463503,0.9768806950625133,0.939404617908389,0.9791666666666666,1e-06,40.47309756278992,SF-BiLSTM
89,0.8904131419058834,0.977353959172141,0.9375715597655422,0.9791132478632478,1e-06,40.92315864562988,SF-BiLSTM
90,0.8642537403980387,0.9771491135127499,0.9393936127655266,0.9790954415954416,1e-06,41.398653507232666,SF-BiLSTM
91,0.8977805111843402,0.9766993948812129,0.9375329082326371,0.9791488603988604,1e-06,41.86612510681152,SF-BiLSTM
92,0.8741422138892907,0.9762590944409125,0.9375616404437279,0.9791666666666666,1e-06,42.341227769851685,SF-BiLSTM
93,0.8989152490378602,0.9760542487815216,0.9375339284423709,0.9791666666666666,1e-06,42.806164026260376,SF-BiLSTM
94,0.8982241772866064,0.9772668409032045,0.9353652222211971,0.9792022792022792,1e-06,43.275638580322266,SF-BiLSTM
